team_name,project_name,github_url,project_url,track,sponsors_used,description
TrapicheLab,Trapiche Lab,https://github.com/FrancoE04/trapichelab/,https://trapichelab.netlify.app/,,n8n; codex; elevenlabs; netlify; cursor,"Trapiche Lab es una plataforma web de laboratorios interactivos de física (escalable a diferentes temas) que convierte la teoría de los libros en simulaciones manipulables, visuales y explicadas por voz en tiempo real. El nombre viene del trapiche: así como muele la caña para hacerla aprovechable, la plataforma ""muele"" fórmulas y fenómenos complejos en experiencias que el estudiante puede tocar y entender.

El problema: la física se aprende de forma pasiva (libros y fórmulas aisladas), y las IA genéricas empeoran esto porque inventan resultados, dan respuestas demasiado generales y fomentan copiar en lugar de experimentar.

La solución: el estudiante aprende experimentando. Modifica parámetros (masas, ángulos, densidades, cargas), arrastra objetos, ve fuerzas y trayectorias, analiza gráficas, compara intentos y pregunta por voz.

Los 3 diferenciadores clave:

Cero alucinaciones científicas: motores deterministas en TypeScript hacen todos los cálculos; la IA solo explica valores ya calculados, nunca los inventa.
Motor pedagógico por eventos: detecta fenómenos educativos , les asigna una importancia y decide si callar, mostrar texto o hablar, sin resultar molesta, con un flujo de n8n por detras que crea la base de conocimiento indexada al agente.
Tutora de voz con herramientas controladas: ""Gissi"" (ElevenLabs) solo actúa sobre la escena mediante herramientas autorizadas (highlightElement, focusGraph, showFormula, etc.).
Alcance: 7+ simuladores en 3 categorías (fluidos, cinemática, electromagnetismo); MVP profundo en Arquímedes, Tiro parabólico y Cargas eléctricas.

Stack: Next.js 14 + React 18 + TypeScript, React Three Fiber/Three.js, Zustand, Zod, Plotly, KaTeX, ElevenLabs Conversational AI y Supabase (pgvector) para conocimiento verificado por RAG, cursor.

Trapiche Lab convierte la física de un libro en un laboratorio jugable, con cálculos 100% deterministas y una tutora de voz que explica —pero nunca inventa— lo que pasa en pantalla."
Brainers,Ataraxia,https://github.com/shigerudev/ataraxia.tech,https://ataraxia-tech.vercel.app/,,codex; n8n; elevenlabs; cursor,"Ataraxia es un espacio anónimo de primer apoyo emocional al que entras por chat o por voz, sin cuenta ni datos personales, y que conversa contigo con un enfoque cognitivo-conductual —no es un chatbot genérico, sino uno guiado por conocimiento clínico curado. Te escucha, te ayuda a entender qué te pasa con un par de cuestionarios breves y validados (PHQ-9/GAD-7), y si detecta señales de riesgo en cualquier momento, interrumpe todo lo demás y te conecta con ayuda humana de inmediato.
Cuando ya viste el valor —y solo entonces— te pide tus datos para conectarte con terapia real: individual o grupal (estilo sesiones en vivo), guiada por un profesional.
Dicho más corto: es la sala de espera que nadie tiene que soportar antes de pedir ayuda. Baja la barrera de entrada (anonimato, cero fricción, disponible ya) sin fingir ser un sustituto de terapia — su trabajo es acompañar el primer paso y tender el puente hacia el siguiente."
KernelPanic,YourBank,https://github.com/kenetcode/yourbank,,,n8n; firecrawl; cursor,
Project DUM,Teo,https://github.com/Raptor-Rbelde/DUM_project,,,codex; elevenlabs; cursor,
Rivas,TrabajoYA,https://github.com/iAmRivard/trabajoya,https://trabajoya.rivasystems.dev/,,n8n; codex; cursor; elevenlabs; exa,"Se utilziaron 2 repos, segunodo: https://github.com/D1ef0/trabajoya-api-wp

**TrabajoYA** es una app fullstack para candidatos en El Salvador que completa su perfil profesional hablando con un agente de voz (ElevenLabs), guarda los datos en PostgreSQL y recomienda empleos y cursos reales usando Exa y OpenAI.

**Flujo:** un operador o WhatsApp crea un registro → el candidato abre un enlace con código → conversa por voz → recibe recomendaciones y puede practicar una entrevista simulada con feedback por audio.

**Stack:** Vite + Express, Postgres, n8n, ElevenLabs, Exa, OpenAI. Desplegado en Dokploy (`trabajoya.rivasystems.dev`)."
Team FleetManager,OpenFleetManager,https://github.com/SabtiiBb/OpenFleetManager/tree/master/OpenFleetManager,,,,"OpenFleetManager es una plataforma web de administración y monitoreo de flotas desarrollada en .NET Core MVC con Dapper y SQL Server. Permite gestionar vehículos, motoristas y viajes, asignar rutas, visualizar el estado operativo en mapas, registrar ubicación GPS desde dispositivos móviles y analizar métricas, anomalías y reportes para el seguimiento de operaciones logísticas."
Chaqueton,Urbanfix,https://github.com/monnthu/urbanfix-v3.0.git,,,codex; cursor; n8n,
PapuTeam,Adventure-sv,https://github.com/OscarAVJ/Adventure-sv.git,https://adventure-sv.vercel.app/planner,,n8n; codex,"Adventure-sv es una guía inteligente para explorar El Salvador, pensada para crear rutas personalizadas según los gustos, presupuesto, tiempo y zona de cada viajero, recomendando lugares reales para visitar, comer, descansar y vivir experiencias locales de forma sencilla."
INNOVASAL,TABLAS,https://github.com/crcastillos/tablas.git,https://tablassv.netlify.app/,,netlify; cursor; elevenlabs,"Registrando el monto del ingreso familiar, permite organizar, consultar y clasificar el gasto mensual de un hogar.
Integrando el uso de un agente, hacer uso del lenguaje natural para conocer gastos previos, disponibilidad económica familiar.
Enviar alertas de compromisos a vencer por medio de la automatización."
Código Huella,PetConnect,https://github.com/KcDev-Flores/PetConnect.git,,,n8n; codex; cognition; netlify; firecrawl; datamcp; cursor,"Una aplicación para aquellos que tengan un gran vínculo con sus mascotas y para aquellas personas que han perdido a sus amigos. Con esta aplicación puedes compartir y apoyar, con una comunidad sana."
CHAMBLY,ASAP,https://github.com/luisbodev/asap,,,n8n; cursor,
Polyedro /abs,Polyedro-ads,https://github.com/Arbenidas/Polyedro-abs,https://polyedro-ads.netlify.app/,,netlify; elevenlabs; codex,"Plataforma de marketing autónomo con IA construida. El usuario describe su marca y objetivo de campaña, y un pipeline de agentes de IA genera automáticamente todos los entregables publicitarios de punta a punta.
Qué hace:
1. Onboarding de marca → genera un Brand Kit completo (logo conceptual, paleta, tono de voz bilingüe es/en, buyer persona, propuesta de valor).
2. Brief de campaña (texto o voz) → dispara un pipeline de agentes que producen estrategia y segmentación para Meta Ads, copies A/B en ES/EN, creativos 1080×1080 (Flux), guion de video y voiceovers reales con ElevenLabs.
3. Human-in-the-loop → aprobar o regenerar cada asset.
4. Export a Meta Ads 
Stack (Better-T-Stack monorepo):
- Frontend: Next.js + TailwindCSS + shadcn/ui (apps/web)
- Backend: Hono + Drizzle + Supabase (auth y datos) (apps/server)
- IA/Integraciones: LLM para agentes de texto, openAI images 2.0 (imágenes), ElevenLabs (voz)
- Progreso en vivo: stream SSE por campaña para logs de agentes en tiempo real"
NextBug Team,BusNet,https://github.com/Crisstianpd/busnet,,,codex; elevenlabs; netlify,"Un solucion para el trasado de trayectos para el usuario comun que usa el transporte publico, proporcionando asi una web interactiva desde la cual poder ver las mejores opciones de rutas y el trayecto que se llevara acabo para poder llegar aun lugar de interes, ademas de informacion sobre el tiempo y costo aproximado."
Haiku,Genko,https://github.com/haiku-cursor-hackaton/backend,https://genko-portal.netlify.app/login,,codex; cursor; netlify,"Genko es una plataforma para e-commerce y servicios que conecta agentes y comercios en un solo ecosistema. Centraliza el descubrimiento de negocios, el historial de compras y los pagos mediante un MCP Gateway y APIs UCP/MCP, ofreciendo una integración segura, escalable y preparada para el procesamiento de pagos de agentes de IA."
Duloc,Tiendi,https://github.com/SamuelBercian/tiendi-backend.git,,,n8n; codex; elevenlabs; cursor,
Team Gat,Notary402,https://github.com/juarez009/Notary402/tree/master,,,n8n; codex; netlify; datamcp; cursor,
YonJobDevs,Atlas,https://github.com/Dani3lLopez/Atlas.git,,,n8n; codex; elevenlabs; netlify; firecrawl; cursor,"Atlas es un sistema operativo impulsado por IA para crear productos de forma más inteligente. Centraliza el contexto de un proyecto, coordina agentes especializados, analiza riesgos, simula escenarios, documenta automáticamente y recomienda decisiones para acelerar el desarrollo desde la idea hasta el lanzamiento."
AI TEAM,GhostLine,https://github.com/alessandrror/cursor-buildathon,,,,"Un bot que atiende llamadas de números desconocidos o estafas por ti, los entretiene haciéndose pasar por una persona real (un abuelito que no entiende bien, por ejemplo) para hacerles perder el tiempo, extrae la información de la estafa y te manda un resumen de texto."
Aventra,COMPA,https://github.com/isabellaherc/COMPA.git,,,n8n; codex; elevenlabs; netlify; cursor,"Es una plataforma la cual contiene un ecosistema para conectar micro-empresarios con las oportunidades de trabajar con el Gobierno/Empresa privada, ofreciendo transparencia en el proceso y siendo su acompañante para el registro legal."
Impulso Labs,FIXEO,https://github.com/recastromariona-code/gofixeo,https://gofixeo.lovable.app/,,n8n; codex; cursor,Marketplace de servicios de Centro America. Encuentra el profesional para tu servicio o comparte tu profesionalismo con personas que te están buscando.
Findy,Findy Place,https://github.com/Cartagena2001/frontend-buildathon,https://findy.place/,,n8n; codex; elevenlabs; wispr; cursor,El sitio web para encontrar los lugares y las experiencias más recomendados de El Salvador en redes sociales.
CODEV/A,InboxCFO,https://github.com/leofdr7/InboxCFO.git,,,n8n; cursor,"InboxCFO es un asistente financiero pensado para pymes y freelancers en El Salvador que no cuentan con un ERP ni un equipo contable dedicado. Su información financiera real — facturas, cobros, confirmaciones de pago — vive dispersa en el correo electrónico, casi siempre en texto libre y sin ningún formato fijo.

InboxCFO lee ese correo, extrae los datos relevantes usando inteligencia artificial (Claude, de Anthropic), proyecta el flujo de caja de los próximos 30 días y avisa —en lenguaje natural y con anticipación— cuando existe riesgo de quedarse sin fondos."
Gatetos,Chroma,https://github.com/JocelineAyala/asistente-construccion.git,,,codex; netlify; fal; n8n; cursor,"Asistente Construcción es una aplicación web hecha en React + TypeScript que ayuda a las personas a identificar problemas del hogar, como grietas, humedad, filtraciones o calor, y les ofrece una guía sencilla con diagnóstico, materiales sugeridos y pasos de reparación. Además, permite que el usuario normal cree un plano a partir de un dibujo inicial, y cuenta con un perfil profesional pensado para subir planos, analizar aspectos como ventilación e iluminación, o crear un plano desde cero desde un dibujo. Al final, el arquitecto puede usar ese plano generado como base para realizar mejoras pequeñas."
SmarTech,Capirucho Restaurant SaaS,https://github.com/Astrelio/Capirucho,https://el-capirucho.netlify.app/,,n8n; codex; netlify; cursor,Gestion de reserva interactiva con componentes escalables para cualquier tipo de restaurante
