team_name,project_name,github_url,project_url,track,sponsors_used,description
artemus,kobi,https://github.com/androso/kobi,,,,description
whoisjson,SilentSOS,https://github.com/EGuerra-1/silentsos,https://github.com/EGuerra-1/silentsos.git,,n8n; cursor; codex; elevenlabs,
WUJU,WUJU_Companion,https://github.com/javacachava/wuju_companion,https://github.com/javacachava/wuju_companion,,codex; n8n; cursor; elevenlabs,"Wuju es tu propia mascota virtual pero es mas que una mascota, es un asistente, auditor y especialista, con la posibilidad de que cada usuario pueda desarrollar su porpio asistente te permite añadirle utilidades no solo como desarrollador sino como diseñador, gamer o arquitecto al final la creatividad de los usuarios es el limite."
MOB SQUAD,ESCUADRON DE LA MAFIA,https://github.com/diegoval11/ESCUADRON-DE-LA-MAFIA,,,netlify; wispr; cursor,
Team Pasasin,Know.ly,https://github.com/buildathon-24h/build-24h-f,https://knowly-app.netlify.app/,,n8n; codex; cursor; elevenlabs; netlify,"Know.ly is an AI-driven platform designed to unify, structure, and make accessible all organizational knowledge across multiple data sources."
TekDev,TekDev,https://github.com/devmariomtz/tekdev,,,codex; cursor; netlify; datamcp; n8n,"TekDev es una plataforma de seguridad de código impulsada por IA que integra análisis, priorización y remediación de vulnerabilidades directamente en el flujo de desarrollo. Su enfoque combina un motor inteligente tipo BLAST para analizar código, un sistema de priorización basado en riesgo real, y un “CISO 25/8” que monitorea y sugiere mejoras continuamente.
La solución se integra en múltiples puntos del ciclo de desarrollo —web, CLI, pipelines CI/CD y extensiones de VSCode— permitiendo detectar, analizar y corregir vulnerabilidades de forma rápida, automatizada y sin fricción para el desarrollador. Su objetivo principal es reducir la fatiga de alertas, eliminar falsos positivos y cerrar la brecha entre desarrollo y seguridad en tiempo real."
CareLink,CareLink,https://github.com/KarlaFuentesPerla/CareLink_,,,elevenlabs; cursor,"CareLink es un asistente inteligente para el cuidado de adultos mayores que combina IA conversacional por voz, automatización y monitoreo en tiempo real para conectar a las personas mayores con sus familias. Más que enviar recordatorios, acompaña, verifica el bienestar del usuario y mantiene informados a sus seres queridos, brindando tranquilidad, autonomía y una atención más humana."
DX2,alma - memory training,https://github.com/raderas/buildathon,,,elevenlabs; cursor; n8n; codex,Alma es un asistente para atención de personas con dificultades de memoria o padecimientos similares facilitando la ejecución de juegos y pruebas cognitivas sencillas personalizadas para llevar un registro e identificar tempranamente deterioros cognitivos.
Pipsas,Pipsas2,https://github.com/wmoralesdev/test-buildathon,https://wmorales.dev/,,n8n; datamcp; codex; cognition; cursor,
TheOGVibecoders,Driver Labs,https://github.com/driver-labs/app,,,n8n; codex,"Una plataforma inteligente de formación vial que combina normativa oficial, simulaciones 3D, inteligencia artificial y escenarios interactivos para enseñar a los conductores a anticipar riesgos, comprender sus responsabilidades y tomar decisiones seguras en situaciones reales de tránsito."
Bytos,Hooras,https://github.com/standoge/hooras-back,,,n8n; codex; netlify; firecrawl; cursor,
TrapicheLab,Trapiche Lab,https://github.com/FrancoE04/trapichelab/,,,n8n; codex; elevenlabs; netlify; cursor,"Trapiche Lab es una plataforma web de laboratorios interactivos de física (escalable a diferentes temas) que convierte la teoría de los libros en simulaciones manipulables, visuales y explicadas por voz en tiempo real. El nombre viene del trapiche: así como muele la caña para hacerla aprovechable, la plataforma ""muele"" fórmulas y fenómenos complejos en experiencias que el estudiante puede tocar y entender.

El problema: la física se aprende de forma pasiva (libros y fórmulas aisladas), y las IA genéricas empeoran esto porque inventan resultados, dan respuestas demasiado generales y fomentan copiar en lugar de experimentar.

La solución: el estudiante aprende experimentando. Modifica parámetros (masas, ángulos, densidades, cargas), arrastra objetos, ve fuerzas y trayectorias, analiza gráficas, compara intentos y pregunta por voz.

Los 3 diferenciadores clave:

Cero alucinaciones científicas: motores deterministas en TypeScript hacen todos los cálculos; la IA solo explica valores ya calculados, nunca los inventa.
Motor pedagógico por eventos: detecta fenómenos educativos , les asigna una importancia y decide si callar, mostrar texto o hablar, sin resultar molesta, con un flujo de n8n por detras que crea la base de conocimiento indexada al agente.
Tutora de voz con herramientas controladas: ""Gissi"" (ElevenLabs) solo actúa sobre la escena mediante herramientas autorizadas (highlightElement, focusGraph, showFormula, etc.).
Alcance: 7+ simuladores en 3 categorías (fluidos, cinemática, electromagnetismo); MVP profundo en Arquímedes, Tiro parabólico y Cargas eléctricas.

Stack: Next.js 14 + React 18 + TypeScript, React Three Fiber/Three.js, Zustand, Zod, Plotly, KaTeX, ElevenLabs Conversational AI y Supabase (pgvector) para conocimiento verificado por RAG, cursor.

Trapiche Lab convierte la física de un libro en un laboratorio jugable, con cálculos 100% deterministas y una tutora de voz que explica —pero nunca inventa— lo que pasa en pantalla."
Brainers,Ataraxia,https://github.com/shigerudev/ataraxia.tech,https://ataraxia-tech.vercel.app/,,codex; n8n; elevenlabs; cursor,"Ataraxia es un espacio anónimo de primer apoyo emocional al que entras por chat o por voz, sin cuenta ni datos personales, y que conversa contigo con un enfoque cognitivo-conductual —no es un chatbot genérico, sino uno guiado por conocimiento clínico curado. Te escucha, te ayuda a entender qué te pasa con un par de cuestionarios breves y validados (PHQ-9/GAD-7), y si detecta señales de riesgo en cualquier momento, interrumpe todo lo demás y te conecta con ayuda humana de inmediato.
Cuando ya viste el valor —y solo entonces— te pide tus datos para conectarte con terapia real: individual o grupal (estilo sesiones en vivo), guiada por un profesional.
Dicho más corto: es la sala de espera que nadie tiene que soportar antes de pedir ayuda. Baja la barrera de entrada (anonimato, cero fricción, disponible ya) sin fingir ser un sustituto de terapia — su trabajo es acompañar el primer paso y tender el puente hacia el siguiente."
